Date,Occupancy_Rate,Day_of_Week,Is_Weekend,Month,Is_Holiday_Period,Nearby_Event_Attendees,Average_Room_Rate
2023-03-02,0.4,4,0,3,0,0,153.51
2023-03-03,0.45,5,0,3,0,0,161.32
2023-03-04,0.59,6,1,3,0,0,155.26
2023-03-05,0.57,7,1,3,0,0,171.08
2023-03-06,0.45,1,0,3,0,0,170.37
2023-03-07,0.4,2,0,3,0,0,142.21
2023-03-08,0.37,3,0,3,0,0,157.15
2023-03-09,0.4,4,0,3,0,0,158.5
2023-03-10,0.38,5,0,3,0,0,148.16
2023-03-11,0.56,6,1,3,0,0,193.76
2023-03-12,0.54,7,1,3,0,0,178.5
2023-03-13,0.42,1,0,3,0,0,152.84
2023-03-14,0.4,2,0,3,0,0,154.28
2023-03-15,0.4,3,0,3,0,0,166.08
2023-03-16,0.43,4,0,3,0,0,164.12
2023-03-17,0.37,5,0,3,0,0,162.05
2023-03-18,0.69,6,1,3,0,0,177.82
2023-03-19,0.57,7,1,3,0,0,162.84
2023-03-20,0.51,1,0,3,0,0,148.2
2023-03-21,0.52,2,0,3,0,48425,180.9
2023-03-22,0.48,3,0,3,0,0,152.78
2023-03-23,0.48,4,0,3,0,0,156.8
2023-03-24,0.44,5,0,3,0,25244,183.52
2023-03-25,0.6,6,1,3,0,0,183.22
2023-03-26,0.6,7,1,3,0,0,166.85
2023-03-27,0.53,1,0,3,0,17974,185.68
2023-03-28,0.39,2,0,3,0,0,148.28
2023-03-29,0.5,3,0,3,0,0,156.43
2023-03-30,0.51,4,0,3,0,25268,182.56
2023-03-31,0.45,5,0,3,0,0,136.6
2023-04-01,0.61,6,1,4,0,0,168.11
2023-04-02,0.66,7,1,4,0,0,167.8
2023-04-03,0.47,1,0,4,0,0,145.67
2023-04-04,0.42,2,0,4,0,0,166.61
2023-04-05,0.41,3,0,4,0,0,155.14
2023-04-06,0.5,4,0,4,0,0,149.17
2023-04-07,0.42,5,0,4,0,0,146.43
2023-04-08,0.54,6,1,4,0,36546,196.07
2023-04-09,0.63,7,1,4,0,0,161.5
2023-04-10,0.45,1,0,4,0,0,152.06
2023-04-11,0.4,2,0,4,0,0,159.78
2023-04-12,0.43,3,0,4,0,0,144.55
2023-04-13,0.44,4,0,4,0,0,157.61
2023-04-14,0.52,5,0,4,0,34353,178.34
2023-04-15,0.62,6,1,4,0,0,168.69
2023-04-16,0.56,7,1,4,0,0,167.31
2023-04-17,0.44,1,0,4,0,0,154.84
2023-04-18,0.4,2,0,4,0,0,139.1
2023-04-19,0.4,3,0,4,0,0,143.79
2023-04-20,0.39,4,0,4,0,0,141.14
2023-04-21,0.47,5,0,4,0,0,155.63
2023-04-22,0.6,6,1,4,0,0,165.62
2023-04-23,0.57,7,1,4,0,0,168.05
2023-04-24,0.36,1,0,4,0,0,149.69
2023-04-25,0.52,2,0,4,0,0,169.27
2023-04-26,0.5,3,0,4,0,0,151.58
2023-04-27,0.35,4,0,4,0,0,164.7
2023-04-28,0.44,5,0,4,0,0,145.67
2023-04-29,0.65,6,1,4,0,0,186.98
2023-04-30,0.53,7,1,4,0,0,169.33
2023-05-01,0.4,1,0,5,0,0,156.24
2023-05-02,0.39,2,0,5,0,0,149.93
2023-05-03,0.55,3,0,5,0,0,146.93
2023-05-04,0.37,4,0,5,0,0,159.75
2023-05-05,0.38,5,0,5,0,0,175.3
2023-05-06,0.59,6,1,5,0,0,165.9
2023-05-07,0.58,7,1,5,0,0,178.93
2023-05-08,0.43,1,0,5,0,0,145.58
2023-05-09,0.44,2,0,5,0,0,138.63
2023-05-10,0.44,3,0,5,0,0,174.5
2023-05-11,0.6,4,0,5,0,0,170.97
2023-05-12,0.46,5,0,5,0,0,163.45
2023-05-13,0.54,6,1,5,0,0,165.06
2023-05-14,0.49,7,1,5,0,0,164.55
2023-05-15,0.45,1,0,5,0,0,148.2
2023-05-16,0.51,2,0,5,0,0,152.74
2023-05-17,0.42,3,0,5,0,0,153.06
2023-05-18,0.47,4,0,5,0,0,153.33
2023-05-19,0.43,5,0,5,0,1431,177.58
2023-05-20,0.59,6,1,5,0,0,157.47
2023-05-21,0.65,7,1,5,0,0,162.95
2023-05-22,0.48,1,0,5,0,0,171.56
2023-05-23,0.38,2,0,5,0,0,161.11
2023-05-24,0.48,3,0,5,0,0,158.21
2023-05-25,0.46,4,0,5,0,0,162.45
2023-05-26,0.52,5,0,5,0,0,137.61
2023-05-27,0.62,6,1,5,0,0,181.24
2023-05-28,0.59,7,1,5,0,0,157.17
2023-05-29,0.58,1,0,5,0,0,147.26
2023-05-30,0.47,2,0,5,0,0,140.62
2023-05-31,0.59,3,0,5,0,0,132.19
2023-06-01,0.42,4,0,6,0,0,154.01
2023-06-02,0.33,5,0,6,0,0,175.07
2023-06-03,0.53,6,1,6,0,0,177.94
2023-06-04,0.58,7,1,6,0,0,165.0
2023-06-05,0.45,1,0,6,0,0,157.25
2023-06-06,0.46,2,0,6,0,0,164.98
2023-06-07,0.39,3,0,6,0,0,162.32
2023-06-08,0.43,4,0,6,0,0,166.43
2023-06-09,0.39,5,0,6,0,0,165.5
2023-06-10,0.53,6,1,6,0,0,157.0
2023-06-11,0.6,7,1,6,0,0,164.61
2023-06-12,0.44,1,0,6,0,0,148.22
2023-06-13,0.52,2,0,6,0,0,153.61
2023-06-14,0.55,3,0,6,0,0,153.69
2023-06-15,0.47,4,0,6,0,0,152.16
2023-06-16,0.52,5,0,6,0,0,142.22
2023-06-17,0.55,6,1,6,0,0,167.02
2023-06-18,0.64,7,1,6,0,0,178.45
2023-06-19,0.48,1,0,6,0,0,146.75
2023-06-20,0.51,2,0,6,0,0,147.03
2023-06-21,0.4,3,0,6,0,0,145.23
2023-06-22,0.57,4,0,6,0,0,131.67
2023-06-23,0.51,5,0,6,0,0,150.14
2023-06-24,0.66,6,1,6,0,0,162.37
2023-06-25,0.56,7,1,6,0,0,164.5
2023-06-26,0.43,1,0,6,0,0,146.73
2023-06-27,0.35,2,0,6,0,0,155.64
2023-06-28,0.45,3,0,6,0,0,138.85
2023-06-29,0.51,4,0,6,0,0,146.82
2023-06-30,0.54,5,0,6,0,0,144.79
2023-07-01,0.71,6,1,7,1,0,233.81
2023-07-02,0.71,7,1,7,1,0,226.73
2023-07-03,0.6,1,0,7,1,20098,221.13
2023-07-04,0.56,2,0,7,1,0,192.29
2023-07-05,0.61,3,0,7,1,0,198.68
2023-07-06,0.7,4,0,7,1,0,193.74
2023-07-07,0.51,5,0,7,1,0,186.1
2023-07-08,0.73,6,1,7,1,0,219.76
2023-07-09,0.78,7,1,7,1,0,232.96
2023-07-10,0.65,1,0,7,1,0,186.71
2023-07-11,0.65,2,0,7,1,0,195.59
2023-07-12,0.65,3,0,7,1,0,217.51
2023-07-13,0.73,4,0,7,1,0,187.22
2023-07-14,0.62,5,0,7,1,0,210.11
2023-07-15,0.65,6,1,7,1,0,225.23
2023-07-16,0.73,7,1,7,1,0,230.25
2023-07-17,0.51,1,0,7,1,0,194.17
2023-07-18,0.66,2,0,7,1,0,224.5
2023-07-19,0.66,3,0,7,1,0,204.17
2023-07-20,0.67,4,0,7,1,0,197.96
2023-07-21,0.6,5,0,7,1,0,208.07
2023-07-22,0.76,6,1,7,1,0,212.71
2023-07-23,0.66,7,1,7,1,0,240.83
2023-07-24,0.42,1,0,7,1,0,212.79
2023-07-25,0.65,2,0,7,1,0,210.2
2023-07-26,0.59,3,0,7,1,0,202.27
2023-07-27,0.62,4,0,7,1,0,197.08
2023-07-28,0.59,5,0,7,1,0,203.84
2023-07-29,0.69,6,1,7,1,0,225.15
2023-07-30,0.62,7,1,7,1,0,229.57
2023-07-31,0.63,1,0,7,1,0,199.6
2023-08-01,0.52,2,0,8,1,0,202.66
2023-08-02,0.61,3,0,8,1,0,199.64
2023-08-03,0.6,4,0,8,1,0,194.27
2023-08-04,0.71,5,0,8,1,0,198.1
2023-08-05,0.65,6,1,8,1,0,238.37
2023-08-06,0.68,7,1,8,1,0,228.01
2023-08-07,0.6,1,0,8,1,0,197.3
2023-08-08,0.65,2,0,8,1,0,192.49
2023-08-09,0.66,3,0,8,1,0,201.45
2023-08-10,0.6,4,0,8,1,0,204.58
2023-08-11,0.67,5,0,8,1,39391,225.87
2023-08-12,0.67,6,1,8,1,0,215.05
2023-08-13,0.74,7,1,8,1,0,208.31
2023-08-14,0.58,1,0,8,1,0,185.23
2023-08-15,0.62,2,0,8,1,0,204.99
2023-08-16,0.68,3,0,8,1,0,175.17
2023-08-17,0.53,4,0,8,1,0,211.67
2023-08-18,0.57,5,0,8,1,0,184.96
2023-08-19,0.72,6,1,8,1,0,220.8
2023-08-20,0.73,7,1,8,1,0,229.87
2023-08-21,0.58,1,0,8,1,0,192.91
2023-08-22,0.56,2,0,8,1,0,209.97
2023-08-23,0.57,3,0,8,1,0,211.56
2023-08-24,0.58,4,0,8,1,0,202.01
2023-08-25,0.58,5,0,8,1,0,202.57
2023-08-26,0.79,6,1,8,1,0,239.13
2023-08-27,0.84,7,1,8,1,30890,257.1
2023-08-28,0.62,1,0,8,1,0,201.32
2023-08-29,0.54,2,0,8,1,0,195.5
2023-08-30,0.69,3,0,8,1,0,201.89
2023-08-31,0.59,4,0,8,1,0,208.3
2023-09-01,0.53,5,0,9,0,0,144.57
2023-09-02,0.56,6,1,9,0,0,172.88
2023-09-03,0.5,7,1,9,0,0,180.04
2023-09-04,0.41,1,0,9,0,0,142.3
2023-09-05,0.53,2,0,9,0,28261,183.12
2023-09-06,0.5,3,0,9,0,0,143.7
2023-09-07,0.46,4,0,9,0,0,143.59
2023-09-08,0.5,5,0,9,0,0,164.12
2023-09-09,0.57,6,1,9,0,0,162.19
2023-09-10,0.55,7,1,9,0,0,163.46
2023-09-11,0.45,1,0,9,0,5604,193.06
2023-09-12,0.39,2,0,9,0,0,151.54
2023-09-13,0.48,3,0,9,0,43678,171.75
2023-09-14,0.53,4,0,9,0,0,155.17
2023-09-15,0.53,5,0,9,0,0,154.04
2023-09-16,0.55,6,1,9,0,0,182.88
2023-09-17,0.59,7,1,9,0,0,167.17
2023-09-18,0.49,1,0,9,0,0,151.06
2023-09-19,0.38,2,0,9,0,0,139.77
2023-09-20,0.49,3,0,9,0,0,160.71
2023-09-21,0.43,4,0,9,0,0,164.73
2023-09-22,0.44,5,0,9,0,0,157.06
2023-09-23,0.61,6,1,9,0,0,189.38
2023-09-24,0.62,7,1,9,0,0,168.95
2023-09-25,0.42,1,0,9,0,0,165.78
2023-09-26,0.44,2,0,9,0,0,149.91
2023-09-27,0.44,3,0,9,0,0,153.8
2023-09-28,0.45,4,0,9,0,0,160.56
2023-09-29,0.47,5,0,9,0,0,152.57
2023-09-30,0.67,6,1,9,0,0,172.33
2023-10-01,0.54,7,1,10,0,0,167.97
2023-10-02,0.5,1,0,10,0,0,124.76
2023-10-03,0.5,2,0,10,0,1970,177.56
2023-10-04,0.47,3,0,10,0,0,152.85
2023-10-05,0.5,4,0,10,0,0,143.34
2023-10-06,0.38,5,0,10,0,0,147.92
2023-10-07,0.6,6,1,10,0,0,166.01
2023-10-08,0.57,7,1,10,0,0,186.4
2023-10-09,0.45,1,0,10,0,0,146.88
2023-10-10,0.5,2,0,10,0,0,145.34
2023-10-11,0.41,3,0,10,0,0,157.56
2023-10-12,0.5,4,0,10,0,0,144.95
2023-10-13,0.48,5,0,10,0,0,133.97
2023-10-14,0.64,6,1,10,0,0,172.44
2023-10-15,0.53,7,1,10,0,0,172.12
2023-10-16,0.35,1,0,10,0,0,144.62
2023-10-17,0.42,2,0,10,0,0,144.3
2023-10-18,0.43,3,0,10,0,0,153.05
2023-10-19,0.45,4,0,10,0,0,154.44
2023-10-20,0.42,5,0,10,0,0,143.04
2023-10-21,0.58,6,1,10,0,0,186.18
2023-10-22,0.53,7,1,10,0,0,177.42
2023-10-23,0.46,1,0,10,0,19063,189.07
2023-10-24,0.45,2,0,10,0,0,142.86
2023-10-25,0.42,3,0,10,0,0,134.18
2023-10-26,0.44,4,0,10,0,0,163.42
2023-10-27,0.48,5,0,10,0,0,149.6
2023-10-28,0.58,6,1,10,0,0,163.85
2023-10-29,0.75,7,1,10,0,0,182.85
2023-10-30,0.39,1,0,10,0,0,145.73
2023-10-31,0.48,2,0,10,0,0,146.66
2023-11-01,0.56,3,0,11,0,0,140.5
2023-11-02,0.47,4,0,11,0,0,156.16
2023-11-03,0.37,5,0,11,0,0,143.14
2023-11-04,0.53,6,1,11,0,0,170.1
2023-11-05,0.55,7,1,11,0,0,177.69
2023-11-06,0.42,1,0,11,0,0,146.35
2023-11-07,0.39,2,0,11,0,0,165.86
2023-11-08,0.43,3,0,11,0,0,125.34
2023-11-09,0.47,4,0,11,0,0,148.09
2023-11-10,0.47,5,0,11,0,0,137.82
2023-11-11,0.61,6,1,11,0,0,162.65
2023-11-12,0.68,7,1,11,0,0,157.96
2023-11-13,0.4,1,0,11,0,0,162.82
2023-11-14,0.44,2,0,11,0,0,151.93
2023-11-15,0.27,3,0,11,0,0,139.45
2023-11-16,0.39,4,0,11,0,0,149.62
2023-11-17,0.41,5,0,11,0,0,157.15
2023-11-18,0.68,6,1,11,0,0,164.33
2023-11-19,0.57,7,1,11,0,0,175.82
2023-11-20,0.53,1,0,11,0,0,144.95
2023-11-21,0.5,2,0,11,0,0,155.19
2023-11-22,0.58,3,0,11,0,0,135.05
2023-11-23,0.44,4,0,11,0,0,144.69
2023-11-24,0.47,5,0,11,0,0,153.46
2023-11-25,0.61,6,1,11,0,0,179.5
2023-11-26,0.5,7,1,11,0,0,178.04
2023-11-27,0.48,1,0,11,0,0,159.47
2023-11-28,0.5,2,0,11,0,0,141.55
2023-11-29,0.49,3,0,11,0,0,153.43
2023-11-30,0.5,4,0,11,0,0,155.46
2023-12-01,0.45,5,0,12,0,4817,180.65
2023-12-02,0.56,6,1,12,0,0,181.91
2023-12-03,0.58,7,1,12,0,0,145.96
2023-12-04,0.5,1,0,12,0,0,136.45
2023-12-05,0.43,2,0,12,0,0,156.64
2023-12-06,0.41,3,0,12,0,0,166.52
2023-12-07,0.45,4,0,12,0,0,149.9
2023-12-08,0.5,5,0,12,0,0,141.56
2023-12-09,0.62,6,1,12,0,0,176.61
2023-12-10,0.65,7,1,12,0,0,166.64
2023-12-11,0.49,1,0,12,0,0,157.99
2023-12-12,0.4,2,0,12,0,0,169.03
2023-12-13,0.52,3,0,12,0,0,153.43
2023-12-14,0.53,4,0,12,0,0,140.74
2023-12-15,0.55,5,0,12,0,0,149.64
2023-12-16,0.66,6,1,12,0,0,171.77
2023-12-17,0.56,7,1,12,0,0,173.28
2023-12-18,0.5,1,0,12,0,0,148.5
2023-12-19,0.44,2,0,12,0,0,132.02
2023-12-20,0.61,3,0,12,1,0,205.67
2023-12-21,0.6,4,0,12,1,0,190.89
2023-12-22,0.71,5,0,12,1,0,189.39
2023-12-23,0.8,6,1,12,1,0,228.45
2023-12-24,0.77,7,1,12,1,0,224.49
2023-12-25,0.54,1,0,12,1,0,200.42
2023-12-26,0.58,2,0,12,1,0,183.88
2023-12-27,0.6,3,0,12,1,0,196.39
2023-12-28,0.51,4,0,12,1,0,218.19
2023-12-29,0.45,5,0,12,1,0,208.55
2023-12-30,0.7,6,1,12,1,0,220.35
2023-12-31,0.75,7,1,12,1,0,223.74
2024-01-01,0.63,1,0,1,1,0,185.4
2024-01-02,0.59,2,0,1,1,0,202.97
2024-01-03,0.58,3,0,1,1,0,204.56
2024-01-04,0.69,4,0,1,1,0,200.16
2024-01-05,0.52,5,0,1,1,0,213.1
2024-01-06,0.69,6,1,1,0,0,168.37
2024-01-07,0.59,7,1,1,0,0,158.31
2024-01-08,0.44,1,0,1,0,0,139.37
2024-01-09,0.5,2,0,1,0,0,158.65
2024-01-10,0.42,3,0,1,0,0,143.55
2024-01-11,0.46,4,0,1,0,0,157.42
2024-01-12,0.44,5,0,1,0,0,166.43
2024-01-13,0.5,6,1,1,0,0,171.48
2024-01-14,0.65,7,1,1,0,0,159.76
2024-01-15,0.51,1,0,1,0,0,162.76
2024-01-16,0.5,2,0,1,0,0,153.1
2024-01-17,0.46,3,0,1,0,0,152.65
2024-01-18,0.36,4,0,1,0,0,145.56
2024-01-19,0.42,5,0,1,0,0,155.49
2024-01-20,0.61,6,1,1,0,0,176.03
2024-01-21,0.53,7,1,1,0,0,165.43
2024-01-22,0.48,1,0,1,0,0,136.74
2024-01-23,0.4,2,0,1,0,0,166.56
2024-01-24,0.44,3,0,1,0,0,151.36
2024-01-25,0.46,4,0,1,0,0,159.18
2024-01-26,0.49,5,0,1,0,0,135.5
2024-01-27,0.61,6,1,1,0,0,168.18
2024-01-28,0.52,7,1,1,0,0,165.45
2024-01-29,0.51,1,0,1,0,29336,177.72
2024-01-30,0.42,2,0,1,0,0,156.93
2024-01-31,0.4,3,0,1,0,0,146.8
2024-02-01,0.41,4,0,2,0,0,167.99
2024-02-02,0.53,5,0,2,0,0,141.88
2024-02-03,0.57,6,1,2,0,0,156.85
2024-02-04,0.61,7,1,2,0,0,163.88
2024-02-05,0.37,1,0,2,0,0,158.84
2024-02-06,0.42,2,0,2,0,0,178.01
2024-02-07,0.44,3,0,2,0,1013,182.38
2024-02-08,0.42,4,0,2,0,0,148.71
2024-02-09,0.41,5,0,2,0,0,162.63
2024-02-10,0.58,6,1,2,0,0,175.54
2024-02-11,0.58,7,1,2,0,0,169.95
2024-02-12,0.44,1,0,2,0,0,146.89
2024-02-13,0.39,2,0,2,0,0,151.58
2024-02-14,0.42,3,0,2,0,0,156.07
2024-02-15,0.43,4,0,2,0,0,150.1
2024-02-16,0.57,5,0,2,0,0,148.67
2024-02-17,0.55,6,1,2,0,0,164.89
2024-02-18,0.67,7,1,2,0,0,164.44
2024-02-19,0.41,1,0,2,0,0,154.61
2024-02-20,0.45,2,0,2,0,0,147.78
2024-02-21,0.45,3,0,2,0,0,161.33
2024-02-22,0.44,4,0,2,0,0,157.25
2024-02-23,0.47,5,0,2,0,0,153.34
2024-02-24,0.52,6,1,2,0,0,190.56
2024-02-25,0.48,7,1,2,0,0,184.99
2024-02-26,0.45,1,0,2,0,0,135.34
2024-02-27,0.48,2,0,2,0,0,151.49
2024-02-28,0.44,3,0,2,0,0,150.11
2024-02-29,0.45,4,0,2,0,0,166.07
2024-03-01,0.44,5,0,3,0,0,155.1
2024-03-02,0.62,6,1,3,0,0,169.0
2024-03-03,0.66,7,1,3,0,0,172.85
2024-03-04,0.41,1,0,3,0,0,150.09
2024-03-05,0.44,2,0,3,0,0,129.39
2024-03-06,0.42,3,0,3,0,0,150.74
2024-03-07,0.49,4,0,3,0,0,150.85
2024-03-08,0.55,5,0,3,0,0,147.98
2024-03-09,0.59,6,1,3,0,0,183.65
2024-03-10,0.53,7,1,3,0,0,165.23
2024-03-11,0.38,1,0,3,0,0,146.0
2024-03-12,0.5,2,0,3,0,18317,175.31
2024-03-13,0.43,3,0,3,0,0,143.06
2024-03-14,0.46,4,0,3,0,0,169.22
2024-03-15,0.41,5,0,3,0,13162,176.27
2024-03-16,0.55,6,1,3,0,0,174.71
2024-03-17,0.6,7,1,3,0,0,174.21
2024-03-18,0.5,1,0,3,0,0,159.48
2024-03-19,0.53,2,0,3,0,0,148.64
2024-03-20,0.48,3,0,3,0,0,142.13
2024-03-21,0.42,4,0,3,0,0,148.64
2024-03-22,0.4,5,0,3,0,0,153.49
2024-03-23,0.57,6,1,3,0,0,186.57
2024-03-24,0.61,7,1,3,0,0,161.75
2024-03-25,0.46,1,0,3,0,0,142.23
2024-03-26,0.42,2,0,3,0,0,153.68
2024-03-27,0.35,3,0,3,0,0,157.7
2024-03-28,0.42,4,0,3,0,0,152.79
2024-03-29,0.52,5,0,3,0,0,159.81
2024-03-30,0.51,6,1,3,0,0,180.98
2024-03-31,0.65,7,1,3,0,0,162.99
2024-04-01,0.44,1,0,4,0,0,159.65
2024-04-02,0.39,2,0,4,0,0,140.69
2024-04-03,0.44,3,0,4,0,0,168.84
2024-04-04,0.55,4,0,4,0,0,160.04
2024-04-05,0.43,5,0,4,0,0,163.17
2024-04-06,0.63,6,1,4,0,0,170.74
2024-04-07,0.6,7,1,4,0,0,172.56
2024-04-08,0.46,1,0,4,0,0,147.44
2024-04-09,0.42,2,0,4,0,0,139.53
2024-04-10,0.51,3,0,4,0,0,141.17
2024-04-11,0.45,4,0,4,0,0,138.0
2024-04-12,0.43,5,0,4,0,0,142.91
2024-04-13,0.53,6,1,4,0,0,169.71
2024-04-14,0.53,7,1,4,0,0,175.13
2024-04-15,0.42,1,0,4,0,0,134.12
2024-04-16,0.35,2,0,4,0,0,152.71
2024-04-17,0.54,3,0,4,0,0,130.87
2024-04-18,0.39,4,0,4,0,0,146.69
2024-04-19,0.47,5,0,4,0,0,154.47
2024-04-20,0.59,6,1,4,0,0,151.94
2024-04-21,0.54,7,1,4,0,0,163.59
2024-04-22,0.54,1,0,4,0,0,153.73
2024-04-23,0.46,2,0,4,0,0,150.44
2024-04-24,0.45,3,0,4,0,0,143.52
2024-04-25,0.48,4,0,4,0,0,157.37
2024-04-26,0.42,5,0,4,0,0,151.55
2024-04-27,0.54,6,1,4,0,0,169.38
2024-04-28,0.52,7,1,4,0,0,173.32
2024-04-29,0.55,1,0,4,0,0,158.12
2024-04-30,0.49,2,0,4,0,0,141.6
2024-05-01,0.53,3,0,5,0,0,140.85
2024-05-02,0.42,4,0,5,0,0,151.0
2024-05-03,0.52,5,0,5,0,0,140.53
2024-05-04,0.62,6,1,5,0,0,175.54
2024-05-05,0.53,7,1,5,0,0,178.92
2024-05-06,0.44,1,0,5,0,0,139.61
2024-05-07,0.54,2,0,5,0,0,144.47
2024-05-08,0.52,3,0,5,0,0,154.74
2024-05-09,0.42,4,0,5,0,0,141.09
2024-05-10,0.4,5,0,5,0,0,163.64
2024-05-11,0.62,6,1,5,0,39507,194.79
2024-05-12,0.55,7,1,5,0,0,166.56
2024-05-13,0.49,1,0,5,0,0,171.99
2024-05-14,0.44,2,0,5,0,0,144.29
2024-05-15,0.55,3,0,5,0,29593,161.98
2024-05-16,0.39,4,0,5,0,0,158.42
2024-05-17,0.48,5,0,5,0,0,142.82
2024-05-18,0.58,6,1,5,0,0,151.27
2024-05-19,0.56,7,1,5,0,0,166.13
2024-05-20,0.46,1,0,5,0,0,151.29
2024-05-21,0.43,2,0,5,0,10486,178.63
2024-05-22,0.48,3,0,5,0,0,150.54
2024-05-23,0.56,4,0,5,0,28919,181.56
2024-05-24,0.37,5,0,5,0,0,153.57
2024-05-25,0.57,6,1,5,0,0,168.74
2024-05-26,0.61,7,1,5,0,0,158.07
2024-05-27,0.49,1,0,5,0,0,156.02
2024-05-28,0.39,2,0,5,0,0,157.4
2024-05-29,0.45,3,0,5,0,0,143.44
2024-05-30,0.41,4,0,5,0,0,163.03
2024-05-31,0.47,5,0,5,0,0,149.22
2024-06-01,0.51,6,1,6,0,0,183.6
2024-06-02,0.61,7,1,6,0,0,177.65
2024-06-03,0.43,1,0,6,0,0,160.33
2024-06-04,0.55,2,0,6,0,0,161.91
2024-06-05,0.41,3,0,6,0,0,155.99
2024-06-06,0.53,4,0,6,0,0,142.5
2024-06-07,0.52,5,0,6,0,0,135.57
2024-06-08,0.55,6,1,6,0,0,173.1
2024-06-09,0.57,7,1,6,0,0,160.05
2024-06-10,0.47,1,0,6,0,0,138.13
2024-06-11,0.43,2,0,6,0,0,146.58
2024-06-12,0.43,3,0,6,0,0,155.1
2024-06-13,0.42,4,0,6,0,0,165.43
2024-06-14,0.44,5,0,6,0,0,155.06
2024-06-15,0.61,6,1,6,0,0,172.14
2024-06-16,0.6,7,1,6,0,0,171.74
2024-06-17,0.41,1,0,6,0,0,157.07
2024-06-18,0.4,2,0,6,0,0,156.72
2024-06-19,0.42,3,0,6,0,0,144.76
2024-06-20,0.46,4,0,6,0,0,161.04
2024-06-21,0.53,5,0,6,0,0,142.96
2024-06-22,0.61,6,1,6,0,0,167.5
2024-06-23,0.58,7,1,6,0,0,176.13
2024-06-24,0.45,1,0,6,0,0,152.9
2024-06-25,0.48,2,0,6,0,0,148.97
2024-06-26,0.44,3,0,6,0,0,144.08
2024-06-27,0.5,4,0,6,0,0,155.36
2024-06-28,0.45,5,0,6,0,0,147.53
2024-06-29,0.62,6,1,6,0,0,177.99
2024-06-30,0.54,7,1,6,0,0,165.04
2024-07-01,0.57,1,0,7,1,1260,221.47
2024-07-02,0.59,2,0,7,1,0,207.21
2024-07-03,0.65,3,0,7,1,0,191.78
2024-07-04,0.57,4,0,7,1,0,203.74
2024-07-05,0.6,5,0,7,1,0,197.77
2024-07-06,0.75,6,1,7,1,0,223.08
